model,R2_log,RMSE_usd,MAE_usd,MedAE_usd,MAPE_pct,within_20pct,smearing
Random Forest,0.6826338410915296,81184.48937660208,52079.40618637347,27177.728598765098,40.31192854473413,51.724137931034484,1.1386772986214317
Extra Trees,0.6429233330487956,87702.4349663182,57728.20760736623,37378.013296797115,43.21582889900286,56.32183908045977,1.1538478790688496
Gradient Boosting,0.6342402481253382,85677.32899203154,56821.02524530438,31631.84309351194,44.52123306020626,51.724137931034484,1.1503321863326104
SVR (rbf),0.5795930221372593,83990.99987766409,54137.26161987925,24071.300429880008,50.839092174388725,45.97701149425287,1.0864877437065983
Ridge (linear hedonic),0.18739111708566147,135521.9843372133,105542.50437663624,92747.26221789696,98.26064258702797,14.942528735632186,1.278099367649051
"Neural net (64,32) weak reg",-1.219611861173001,29259010.438197754,3447445.935482833,193156.36610329786,1831.8202606601308,12.643678160919542,2.033245496624316
"Neural net (32,16)",-6.404149621610537,190729501.4967664,25063365.90949183,1486379.5075530396,16774.43395692934,0.0,10.435222437401695
Neural net (16),-7.86356925054463,368696084.09878284,64244236.57620931,6775285.6137327785,28178.052319041755,0.0,60.96876137541508
