specification,n_features,ridge_mean,ridge_std,rf_mean,rf_std
Everything (nothing dropped),11,0.16467101236393222,0.2446162799994614,0.669294171147004,0.18319610050367027
Drop near-constant scores only,8,0.13828204474046069,0.2625014512031698,0.6701480098078884,0.1831475777486097
Drop near-constant + 'final size',7,0.1693562148163828,0.2674711418875821,0.6710254543427635,0.1830350776719341
Audit recommendation (also drop Bathrooms),6,0.0970533742883471,0.2553193983725106,0.6646622291418732,0.18784887762175398
Core + Bathrooms only,4,0.1733286736561671,0.2498989322151923,0.6605537707240345,0.1894922383480876
Core only (Bedrooms + coordinates),3,0.1092033972017596,0.24814582209841013,0.6538753842684422,0.19320664324107395
Bedrooms only (no location),1,0.08757021707004675,0.2386409794974994,0.04786699986110918,0.26835916105742613
Location only (no property attributes),2,0.04658292256680082,0.23078267645782907,0.6318823472159868,0.20690747409275165
